Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;15;360;0.083500;0.083500
uniform_1_100;15;365;0.083500;0.083500
uniform_1_100;15;370;0.083500;0.083500
uniform_1_100;15;375;0.083500;0.083500
uniform_1_100;15;380;0.083500;0.083500
uniform_1_100;15;385;0.083500;0.083500
uniform_1_100;15;390;0.083500;0.083500
uniform_1_100;15;395;0.083500;0.083500
uniform_1_100;15;400;0.083500;0.083500
uniform_1_100;20;5;1.001820;0.226080
uniform_1_100;20;10;0.939320;0.216080
uniform_1_100;20;15;0.872070;0.205320
uniform_1_100;20;20;0.800820;0.193920
uniform_1_100;20;25;0.742070;0.184520
uniform_1_100;20;30;0.677570;0.174200
uniform_1_100;20;35;0.617320;0.164560
uniform_1_100;20;40;0.566570;0.156440
uniform_1_100;20;45;0.496320;0.145200
uniform_1_100;20;50;0.428320;0.134320
uniform_1_100;20;55;0.365320;0.124240
uniform_1_100;20;60;0.300320;0.113840
uniform_1_100;20;65;0.236070;0.103560
uniform_1_100;20;70;0.171320;0.093200
uniform_1_100;20;75;0.115820;0.084320
uniform_1_100;20;80;0.078320;0.078320
uniform_1_100;20;85;0.078320;0.078320
uniform_1_100;20;90;0.078320;0.078320
uniform_1_100;20;95;0.078320;0.078320
uniform_1_100;20;100;0.078320;0.078320
uniform_1_100;20;105;0.078320;0.078320
uniform_1_100;20;110;0.078320;0.078320
uniform_1_100;20;115;0.078320;0.078320
uniform_1_100;20;120;0.078320;0.078320
uniform_1_100;20;125;0.078320;0.078320
uniform_1_100;20;130;0.078320;0.078320
uniform_1_100;20;135;0.078320;0.078320
uniform_1_100;20;140;0.078320;0.078320
uniform_1_100;20;145;0.078320;0.078320
uniform_1_100;20;150;0.078320;0.078320
uniform_1_100;20;155;0.078320;0.078320
uniform_1_100;20;160;0.078320;0.078320
uniform_1_100;20;165;0.078320;0.078320
uniform_1_100;20;170;0.078320;0.078320
uniform_1_100;20;175;0.078320;0.078320
uniform_1_100;20;180;0.078320;0.078320
uniform_1_100;20;185;0.078320;0.078320
uniform_1_100;20;190;0.078320;0.078320
uniform_1_100;20;195;0.078320;0.078320
uniform_1_100;20;200;0.078320;0.078320
uniform_1_100;20;205;0.078320;0.078320
uniform_1_100;20;210;0.078320;0.078320
uniform_1_100;20;215;0.078320;0.078320
uniform_1_100;20;220;0.078320;0.078320
uniform_1_100;20;225;0.078320;0.078320
uniform_1_100;20;230;0.078320;0.078320
uniform_1_100;20;235;0.078320;0.078320
uniform_1_100;20;240;0.078320;0.078320
uniform_1_100;20;245;0.078320;0.078320
uniform_1_100;20;250;0.078320;0.078320
uniform_1_100;20;255;0.078320;0.078320
uniform_1_100;20;260;0.078320;0.078320
uniform_1_100;20;265;0.078320;0.078320
uniform_1_100;20;270;0.078320;0.078320
uniform_1_100;20;275;0.078320;0.078320
uniform_1_100;20;280;0.078320;0.078320
uniform_1_100;20;285;0.078320;0.078320
uniform_1_100;20;290;0.078320;0.078320
uniform_1_100;20;295;0.078320;0.078320
uniform_1_100;20;300;0.078320;0.078320
uniform_1_100;20;305;0.078320;0.078320
uniform_1_100;20;310;0.078320;0.078320
uniform_1_100;20;315;0.078320;0.078320
uniform_1_100;20;320;0.078320;0.078320
uniform_1_100;20;325;0.078320;0.078320
uniform_1_100;20;330;0.078320;0.078320
uniform_1_100;20;335;0.078320;0.078320
uniform_1_100;20;340;0.078320;0.078320
uniform_1_100;20;345;0.078320;0.078320
uniform_1_100;20;350;0.078320;0.078320
uniform_1_100;20;355;0.078320;0.078320
uniform_1_100;20;360;0.078320;0.078320
uniform_1_100;20;365;0.078320;0.078320
uniform_1_100;20;370;0.078320;0.078320
uniform_1_100;20;375;0.078320;0.078320
uniform_1_100;20;380;0.078320;0.078320
uniform_1_100;20;385;0.078320;0.078320
uniform_1_100;20;390;0.078320;0.078320
