Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
exp;30;350;0.053760;0.053550
exp;30;355;0.053760;0.053550
exp;30;360;0.053760;0.053550
exp;30;365;0.053760;0.053550
exp;30;370;0.053760;0.053550
exp;30;375;0.053760;0.053550
exp;30;380;0.053510;0.053510
exp;30;385;0.053510;0.053510
exp;30;390;0.053510;0.053510
exp;30;395;0.053510;0.053510
exp;30;400;0.053510;0.053510
exp;35;5;0.599390;0.136890
exp;35;10;0.545540;0.128270
exp;35;15;0.495290;0.120230
exp;35;20;0.454540;0.113710
exp;35;25;0.417790;0.107830
exp;35;30;0.379790;0.101750
exp;35;35;0.347790;0.096630
exp;35;40;0.318290;0.091910
exp;35;45;0.291290;0.087590
exp;35;50;0.270540;0.084270
exp;35;55;0.250290;0.081030
exp;35;60;0.230790;0.077910
exp;35;65;0.212540;0.074990
exp;35;70;0.197790;0.072630
exp;35;75;0.182540;0.070190
exp;35;80;0.172540;0.068590
exp;35;85;0.165040;0.067390
exp;35;90;0.156040;0.065950
exp;35;95;0.144540;0.064110
exp;35;100;0.136290;0.062790
exp;35;105;0.129040;0.061630
exp;35;110;0.121790;0.060470
exp;35;115;0.113290;0.059110
exp;35;120;0.106790;0.058070
exp;35;125;0.103040;0.057470
exp;35;130;0.099290;0.056870
exp;35;135;0.096040;0.056350
exp;35;140;0.091040;0.055550
exp;35;145;0.085540;0.054670
exp;35;150;0.081540;0.054030
exp;35;155;0.078040;0.053470
exp;35;160;0.077290;0.053350
exp;35;165;0.076290;0.053190
exp;35;170;0.074540;0.052910
exp;35;175;0.072540;0.052590
exp;35;180;0.070040;0.052190
exp;35;185;0.067290;0.051750
exp;35;190;0.065790;0.051510
exp;35;195;0.064540;0.051310
exp;35;200;0.063790;0.051190
exp;35;205;0.062790;0.051030
exp;35;210;0.061790;0.050870
exp;35;215;0.060790;0.050710
exp;35;220;0.059040;0.050430
exp;35;225;0.058290;0.050310
exp;35;230;0.057540;0.050190
exp;35;235;0.057040;0.050110
exp;35;240;0.056290;0.049990
exp;35;245;0.054540;0.049710
exp;35;250;0.054290;0.049670
exp;35;255;0.054040;0.049630
exp;35;260;0.053040;0.049470
exp;35;265;0.052790;0.049430
exp;35;270;0.052790;0.049430
exp;35;275;0.051790;0.049270
exp;35;280;0.051040;0.049150
exp;35;285;0.050290;0.049030
exp;35;290;0.050040;0.048990
exp;35;295;0.049790;0.048950
exp;35;300;0.049790;0.048950
exp;35;305;0.049790;0.048950
exp;35;310;0.049790;0.048950
exp;35;315;0.049790;0.048950
exp;35;320;0.049540;0.048910
exp;35;325;0.049540;0.048910
exp;35;330;0.049290;0.048870
exp;35;335;0.049290;0.048870
exp;35;340;0.049290;0.048870
exp;35;345;0.049040;0.048830
exp;35;350;0.049040;0.048830
exp;35;355;0.049040;0.048830
exp;35;360;0.049040;0.048830
exp;35;365;0.049040;0.048830
