Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;30;190;3.0
trimodal;30;195;3.0
trimodal;30;200;3.0
trimodal;30;205;3.0
trimodal;30;210;3.0
trimodal;30;215;3.0
trimodal;30;220;3.0
trimodal;30;225;3.0
trimodal;30;230;3.0
trimodal;30;235;3.0
trimodal;30;240;3.0
trimodal;30;245;3.0
trimodal;30;250;3.0
trimodal;30;255;3.0
trimodal;30;260;3.0
trimodal;30;265;3.0
trimodal;30;270;3.0
trimodal;30;275;3.0
trimodal;30;280;3.0
trimodal;30;285;3.0
trimodal;30;290;3.0
trimodal;30;295;3.0
trimodal;30;300;3.0
trimodal;30;305;3.0
trimodal;30;310;3.0
trimodal;30;315;3.0
trimodal;30;320;3.0
trimodal;30;325;3.0
trimodal;30;330;3.0
trimodal;30;335;3.0
trimodal;30;340;3.0
trimodal;30;345;3.0
trimodal;30;350;3.0
trimodal;30;355;3.0
trimodal;30;360;3.0
trimodal;30;365;3.0
trimodal;30;370;3.0
trimodal;30;375;3.0
trimodal;30;380;3.0
trimodal;30;385;3.0
trimodal;30;390;3.0
trimodal;30;395;3.0
trimodal;30;400;3.0
trimodal;35;5;-22.5
trimodal;35;10;-21.1
trimodal;35;15;-19.2
trimodal;35;20;-17.7
trimodal;35;25;-16.6
trimodal;35;30;-16.0
trimodal;35;35;-15.8
trimodal;35;40;-15.8
trimodal;35;45;-15.6
trimodal;35;50;-15.1
trimodal;35;55;-14.1
trimodal;35;60;-12.7
trimodal;35;65;-10.7
trimodal;35;70;-9.1
trimodal;35;75;-8.1
trimodal;35;80;-7.5
trimodal;35;85;-7.3
trimodal;35;90;-7.1
trimodal;35;95;-6.8
trimodal;35;100;-6.3
trimodal;35;105;-5.4
trimodal;35;110;-3.9
trimodal;35;115;-1.9
trimodal;35;120;-0.4
trimodal;35;125;0.9
trimodal;35;130;1.5
trimodal;35;135;1.8
trimodal;35;140;1.9
trimodal;35;145;2.0
trimodal;35;150;2.0
trimodal;35;155;2.0
trimodal;35;160;2.0
trimodal;35;165;2.0
trimodal;35;170;2.0
trimodal;35;175;2.0
trimodal;35;180;2.0
trimodal;35;185;2.0
trimodal;35;190;2.0
trimodal;35;195;2.0
trimodal;35;200;2.0
trimodal;35;205;2.0
trimodal;35;210;2.0
trimodal;35;215;2.0
trimodal;35;220;2.0
trimodal;35;225;2.0
trimodal;35;230;2.0
trimodal;35;235;2.0
trimodal;35;240;2.0
trimodal;35;245;2.0
trimodal;35;250;2.0
trimodal;35;255;2.0
trimodal;35;260;2.0
trimodal;35;265;2.0
trimodal;35;270;2.0
trimodal;35;275;2.0
trimodal;35;280;2.0
trimodal;35;285;2.0
trimodal;35;290;2.0
trimodal;35;295;2.0
trimodal;35;300;2.0
trimodal;35;305;2.0
trimodal;35;310;2.0
trimodal;35;315;2.0
trimodal;35;320;2.0
trimodal;35;325;2.0
trimodal;35;330;2.0
trimodal;35;335;2.0
trimodal;35;340;2.0
trimodal;35;345;2.0
trimodal;35;350;2.0
trimodal;35;355;2.0
trimodal;35;360;2.0
trimodal;35;365;2.0
trimodal;35;370;2.0
trimodal;35;375;2.0
trimodal;35;380;2.0
trimodal;35;385;2.0
trimodal;35;390;2.0
trimodal;35;395;2.0
trimodal;35;400;2.0
trimodal;40;5;-21.7
trimodal;40;10;-19.8
trimodal;40;15;-18.3
trimodal;40;20;-17.2
trimodal;40;25;-16.6
trimodal;40;30;-16.5
trimodal;40;35;-16.4
trimodal;40;40;-16.2
trimodal;40;45;-15.7
trimodal;40;50;-14.7
trimodal;40;55;-13.3
trimodal;40;60;-11.3
trimodal;40;65;-9.7
trimodal;40;70;-8.7
trimodal;40;75;-8.1
trimodal;40;80;-7.9
trimodal;40;85;-7.8
trimodal;40;90;-7.5
trimodal;40;95;-7.0
trimodal;40;100;-6.0
trimodal;40;105;-4.5
trimodal;40;110;-2.6
trimodal;40;115;-1.0
trimodal;40;120;0.2
trimodal;40;125;0.9
trimodal;40;130;1.2
trimodal;40;135;1.3
trimodal;40;140;1.4
trimodal;40;145;1.4
trimodal;40;150;1.4
trimodal;40;155;1.4
trimodal;40;160;1.4
trimodal;40;165;1.4
trimodal;40;170;1.4
trimodal;40;175;1.4
trimodal;40;180;1.4
trimodal;40;185;1.4
trimodal;40;190;1.4
trimodal;40;195;1.4
trimodal;40;200;1.4
trimodal;40;205;1.4
trimodal;40;210;1.4
trimodal;40;215;1.4
trimodal;40;220;1.4
trimodal;40;225;1.4
trimodal;40;230;1.4
trimodal;40;235;1.4
trimodal;40;240;1.4
trimodal;40;245;1.4
trimodal;40;250;1.4
trimodal;40;255;1.4
trimodal;40;260;1.4
trimodal;40;265;1.4
trimodal;40;270;1.4
trimodal;40;275;1.4
trimodal;40;280;1.4
trimodal;40;285;1.4
trimodal;40;290;1.4
trimodal;40;295;1.4
trimodal;40;300;1.4
trimodal;40;305;1.4
trimodal;40;310;1.4
trimodal;40;315;1.4
trimodal;40;320;1.4
trimodal;40;325;1.4
trimodal;40;330;1.4
trimodal;40;335;1.4
trimodal;40;340;1.4
trimodal;40;345;1.4
trimodal;40;350;1.4
trimodal;40;355;1.4
trimodal;40;360;1.4
trimodal;40;365;1.4
trimodal;40;370;1.4
trimodal;40;375;1.4
trimodal;40;380;1.4
trimodal;40;385;1.4
trimodal;40;390;1.4
trimodal;40;395;1.4
trimodal;40;400;1.4
trimodal;45;5;-20.2
trimodal;45;10;-18.7
trimodal;45;15;-17.6
trimodal;45;20;-17.0
trimodal;45;25;-16.8
trimodal;45;30;-16.8
trimodal;45;35;-16.6
trimodal;45;40;-16.1
trimodal;45;45;-15.0
trimodal;45;50;-13.6
trimodal;45;55;-11.7
trimodal;45;60;-10.1
trimodal;45;65;-9.1
trimodal;45;70;-8.5
trimodal;45;75;-8.3
trimodal;45;80;-8.1
trimodal;45;85;-7.8
trimodal;45;90;-7.3
trimodal;45;95;-6.4
trimodal;45;100;-4.9
trimodal;45;105;-2.9
trimodal;45;110;-1.4
trimodal;45;115;-0.1
trimodal;45;120;0.5
trimodal;45;125;0.8
trimodal;45;130;1.0
trimodal;45;135;1.0
trimodal;45;140;1.0
trimodal;45;145;1.0
trimodal;45;150;1.0
trimodal;45;155;1.0
trimodal;45;160;1.0
trimodal;45;165;1.0
trimodal;45;170;1.0
trimodal;45;175;1.0
trimodal;45;180;1.0
trimodal;45;185;1.0
trimodal;45;190;1.0
trimodal;45;195;1.0
trimodal;45;200;1.0
trimodal;45;205;1.0
trimodal;45;210;1.0
trimodal;45;215;1.0
trimodal;45;220;1.0
trimodal;45;225;1.0
trimodal;45;230;1.0
trimodal;45;235;1.0
trimodal;45;240;1.0
trimodal;45;245;1.0
trimodal;45;250;1.0
trimodal;45;255;1.0
trimodal;45;260;1.0
trimodal;45;265;1.0
trimodal;45;270;1.0
trimodal;45;275;1.0
trimodal;45;280;1.0
trimodal;45;285;1.0
trimodal;45;290;1.0
trimodal;45;295;1.0
trimodal;45;300;1.0
trimodal;45;305;1.0
trimodal;45;310;1.0
trimodal;45;315;1.0
trimodal;45;320;1.0
trimodal;45;325;1.0
trimodal;45;330;1.0
trimodal;45;335;1.0
trimodal;45;340;1.0
trimodal;45;345;1.0
trimodal;45;350;1.0
trimodal;45;355;1.0
trimodal;45;360;1.0
trimodal;45;365;1.0
trimodal;45;370;1.0
trimodal;45;375;1.0
trimodal;45;380;1.0
trimodal;45;385;1.0
trimodal;45;390;1.0
trimodal;45;395;1.0
trimodal;45;400;1.0
trimodal;50;5;-18.7
trimodal;50;10;-17.6
trimodal;50;15;-17.0
trimodal;50;20;-16.9
trimodal;50;25;-16.8
trimodal;50;30;-16.6
trimodal;50;35;-16.1
trimodal;50;40;-15.1
trimodal;50;45;-13.7
trimodal;50;50;-11.7
trimodal;50;55;-10.1
