Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;20;110;33.1
gaussian_400_25;20;115;33.0
gaussian_400_25;20;120;32.9
gaussian_400_25;20;125;32.8
gaussian_400_25;20;130;32.7
gaussian_400_25;20;135;32.6
gaussian_400_25;20;140;32.5
gaussian_400_25;20;145;32.4
gaussian_400_25;20;150;32.3
gaussian_400_25;20;155;32.2
gaussian_400_25;20;160;32.1
gaussian_400_25;20;165;32.0
gaussian_400_25;20;170;31.9
gaussian_400_25;20;175;31.8
gaussian_400_25;20;180;31.7
gaussian_400_25;20;185;31.6
gaussian_400_25;20;190;31.5
gaussian_400_25;20;195;31.4
gaussian_400_25;20;200;31.3
gaussian_400_25;20;205;31.2
gaussian_400_25;20;210;31.1
gaussian_400_25;20;215;31.0
gaussian_400_25;20;220;30.9
gaussian_400_25;20;225;30.9
gaussian_400_25;20;230;30.8
gaussian_400_25;20;235;30.7
gaussian_400_25;20;240;30.6
gaussian_400_25;20;245;30.5
gaussian_400_25;20;250;30.4
gaussian_400_25;20;255;30.3
gaussian_400_25;20;260;30.2
gaussian_400_25;20;265;30.1
gaussian_400_25;20;270;30.0
gaussian_400_25;20;275;29.9
gaussian_400_25;20;280;29.8
gaussian_400_25;20;285;29.7
gaussian_400_25;20;290;29.6
gaussian_400_25;20;295;29.5
gaussian_400_25;20;300;29.4
gaussian_400_25;20;305;29.3
gaussian_400_25;20;310;29.2
gaussian_400_25;20;315;29.2
gaussian_400_25;20;320;29.1
gaussian_400_25;20;325;29.2
gaussian_400_25;20;330;29.3
gaussian_400_25;20;335;29.4
gaussian_400_25;20;340;29.6
gaussian_400_25;20;345;30.0
gaussian_400_25;20;350;30.5
gaussian_400_25;20;355;31.1
gaussian_400_25;20;360;31.9
gaussian_400_25;20;365;33.0
gaussian_400_25;20;370;34.0
gaussian_400_25;20;375;35.3
gaussian_400_25;20;380;36.3
gaussian_400_25;20;385;37.5
gaussian_400_25;20;390;38.7
gaussian_400_25;20;395;39.7
gaussian_400_25;20;400;40.6
gaussian_400_25;25;5;34.3
gaussian_400_25;25;10;34.2
gaussian_400_25;25;15;34.1
gaussian_400_25;25;20;34.0
gaussian_400_25;25;25;33.9
gaussian_400_25;25;30;33.8
gaussian_400_25;25;35;33.7
gaussian_400_25;25;40;33.6
gaussian_400_25;25;45;33.5
gaussian_400_25;25;50;33.5
gaussian_400_25;25;55;33.4
gaussian_400_25;25;60;33.3
gaussian_400_25;25;65;33.2
gaussian_400_25;25;70;33.1
gaussian_400_25;25;75;33.0
gaussian_400_25;25;80;32.9
gaussian_400_25;25;85;32.8
gaussian_400_25;25;90;32.7
gaussian_400_25;25;95;32.6
gaussian_400_25;25;100;32.5
gaussian_400_25;25;105;32.4
gaussian_400_25;25;110;32.3
gaussian_400_25;25;115;32.2
gaussian_400_25;25;120;32.1
gaussian_400_25;25;125;32.0
gaussian_400_25;25;130;31.9
gaussian_400_25;25;135;31.8
gaussian_400_25;25;140;31.7
gaussian_400_25;25;145;31.6
gaussian_400_25;25;150;31.5
